Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough
12/09/2024,TFL-J-203426,Tube,Victoria,Liverpool Street,12/09/2024 23:46,13/09/2024 00:24,4.62,1,Westminster,City of London
17/07/2024,TFL-J-750599,Bus,Euston,Liverpool Street,17/07/2024 16:35,17/07/2024 17:05,1.75,7,Camden,City of London
19/03/2024,TFL-J-890382,Bus,Euston,Stratford,19/03/2024 10:12,19/03/2024 10:58,1.75,1,Camden,Newham
16/01/2024,TFL-J-460404,Bus,Canary Wharf,Paddington,16/01/2024 11:15,16/01/2024 11:43,1.75,4,Tower Hamlets,Westminster
09/10/2024,TFL-J-607691,Bus,Waterloo,Bank,09/10/2024 16:22,09/10/2024 16:46,1.75,5,Lambeth,City of London
08/09/2024,TFL-J-912726,Bus,Canary Wharf,Kings Cross,08/09/2024 16:59,08/09/2024 17:43,3.58,0,Tower Hamlets,Camden
29/09/2024,TFL-J-855635,Tube,Kings Cross,Bank,29/09/2024 10:13,29/09/2024 10:35,2.85,2,Camden,City of London
01/06/2024,TFL-J-313910,Tube,Kings Cross,Waterloo,01/06/2024 14:26,01/06/2024 14:57,5.39,5,Camden,Lambeth
22/09/2024,TFL-J-888947,Tube,Paddington,Waterloo,22/09/2024 08:15,22/09/2024 08:56,3.99,7,Westminster,Lambeth
27/05/2024,TFL-J-503583,Bus,Bank,Victoria,27/05/2024 23:23,27/05/2024 23:48,1.75,2,City of London,Westminster
16/08/2024,TFL-J-585197,Bus,Liverpool Street,Waterloo,16/08/2024 09:13,16/08/2024 09:51,1.75,5,City of London,Lambeth
09/10/2024,TFL-J-145305,Overground,Kings Cross,Euston,09/10/2024 09:27,09/10/2024 09:29,9.4,6,Camden,Camden
05/01/2024,TFL-J-808131,Bus,Canary Wharf,Paddington,05/01/2024 12:16,05/01/2024 13:00,1.75,1,Tower Hamlets,Westminster
04/09/2024,TFL-J-539916,Tube,Canary Wharf,London Bridge,04/09/2024 08:51,04/09/2024 09:37,5.11,8,Tower Hamlets,Southwark
20/07/2024,TFL-J-671502,Tube,Canary Wharf,Liverpool Street,20/07/2024 09:46,20/07/2024 10:41,3.39,13,Tower Hamlets,City of London
10/12/2024,TFL-J-661811,Bus,Liverpool Street,Stratford,10/12/2024 07:16,10/12/2024 07:51,3.44,16,City of London,Newham
11/02/2024,TFL-J-861473,Tube,Bank,Paddington,11/02/2024 07:19,11/02/2024 08:08,3.29,15,City of London,Westminster
26/04/2024,TFL-J-157655,Tube,Stratford,Waterloo,26/04/2024 13:30,26/04/2024 14:09,4.58,1,Newham,Lambeth
27/10/2024,TFL-J-933977,Tube,London Bridge,Kings Cross,27/10/2024 09:33,27/10/2024 10:08,3.34,0,Southwark,Camden
19/07/2024,TFL-J-120376,Bus,Euston,Kings Cross,19/07/2024 16:23,19/07/2024 17:12,1.75,12,Camden,Camden
30/07/2024,TFL-J-552454,Tube,Bank,Liverpool Street,30/07/2024 17:42,30/07/2024 18:18,4.23,15,City of London,City of London
01/07/2024,TFL-J-587773,Tube,Kings Cross,Bank,01/07/2024 09:52,01/07/2024 11:23,3.05,47,Camden,City of London
06/11/2024,TFL-J-107982,Bus,Paddington,Victoria,06/11/2024 07:42,06/11/2024 08:48,5.05,23,Westminster,Westminster
12/08/2024,TFL-J-204198,Tube,Canary Wharf,Paddington,12/08/2024 15:44,12/08/2024 16:03,3.98,2,Tower Hamlets,Westminster
23/06/2024,TFL-J-214569,Bus,Kings Cross,Waterloo,23/06/2024 09:55,23/06/2024 10:19,1.75,6,Camden,Lambeth
30/05/2024,TFL-J-775791,Tube,Stratford,Canary Wharf,30/05/2024 09:25,30/05/2024 09:51,4.06,5,Newham,Tower Hamlets
20/12/2024,TFL-J-828900,Bus,Canary Wharf,Euston,20/12/2024 18:46,20/12/2024 19:30,1.75,2,Tower Hamlets,Camden
25/02/2024,TFL-J-228649,Bus,Kings Cross,London Bridge,25/02/2024 16:59,25/02/2024 17:56,1.75,15,Camden,Southwark
14/07/2024,TFL-J-773389,Bus,Liverpool Street,Victoria,14/07/2024 09:16,14/07/2024 09:41,1.75,1,City of London,Westminster
20/01/2024,TFL-J-327912,Bus,Euston,Stratford,20/01/2024 12:22,20/01/2024 12:40,1.75,0,Camden,Newham
03/10/2024,TFL-J-305359,Overground,Waterloo,Bank,03/10/2024 21:41,03/10/2024 22:24,3.33,2,Lambeth,City of London
02/08/2024,TFL-J-425414,Tube,Euston,Victoria,02/08/2024 17:56,02/08/2024 19:58,4.42,91,Camden,Westminster
25/08/2024,TFL-J-874595,Tube,Liverpool Street,Bank,25/08/2024 18:53,25/08/2024 19:28,4,0,City of London,City of London
18/06/2024,TFL-J-119151,Tube,London Bridge,Paddington,18/06/2024 07:15,18/06/2024 07:32,2.87,1,Southwark,Westminster
02/07/2024,TFL-J-167933,Tube,Victoria,Liverpool Street,02/07/2024 17:12,02/07/2024 17:20,9.4,3,Westminster,City of London
14/10/2024,TFL-J-452521,Tube,Waterloo,Canary Wharf,14/10/2024 17:11,14/10/2024 18:04,3.93,14,Lambeth,Tower Hamlets
19/01/2024,TFL-J-434772,Bus,Paddington,Waterloo,19/01/2024 16:02,19/01/2024 16:49,1.75,8,Westminster,Lambeth
04/09/2024,TFL-J-623926,Bus,Bank,Canary Wharf,04/09/2024 07:00,04/09/2024 08:02,1.75,17,City of London,Tower Hamlets
10/10/2024,TFL-J-483645,Tube,Victoria,London Bridge,10/10/2024 08:49,10/10/2024 09:33,3.24,3,Westminster,Southwark
05/08/2024,TFL-J-576224,Tube,Stratford,Liverpool Street,05/08/2024 09:33,05/08/2024 09:33,3.48,11,Newham,City of London
16/09/2024,TFL-J-853311,Tube,Bank,Waterloo,16/09/2024 11:53,16/09/2024 11:07,5.18,5,City of London,Lambeth
01/05/2024,TFL-J-801691,Bus,Paddington,Canary Wharf,01/05/2024 10:20,01/05/2024 11:04,1.75,0,Westminster,Tower Hamlets
03/01/2024,TFL-J-748296,Bus,Liverpool Street,Waterloo,03/01/2024 17:24,03/01/2024 18:11,4.6,10,City of London,Lambeth
05/01/2024,TFL-J-626169,Bus,Stratford,Paddington,05/01/2024 18:28,05/01/2024 19:13,1.75,6,Newham,Westminster
22/12/2024,TFL-J-227137,Tube,Paddington,Waterloo,22/12/2024 16:09,22/12/2024 16:36,4.12,2,Westminster,Lambeth
04/02/2024,TFL-J-516738,Bus,Bank,Victoria,04/02/2024 16:46,04/02/2024 17:38,1.75,14,City of London,Westminster
10/10/2024,TFL-J-960872,Tube,Kings Cross,London Bridge,10/10/2024 07:04,10/10/2024 07:37,5.12,3,Camden,Southwark
05/01/2024,TFL-J-128759,Bus,Canary Wharf,London Bridge,05/01/2024 11:45,05/01/2024 12:22,1.75,13,Tower Hamlets,Southwark
24/03/2024,TFL-J-751052,Bus,Victoria,Paddington,24/03/2024 13:28,24/03/2024 13:48,1.75,0,Westminster,Westminster
19/03/2024,TFL-J-618866,Tube,Euston,Canary Wharf,19/03/2024 08:09,19/03/2024 08:26,9.1,1,Camden,Tower Hamlets
10/09/2024,TFL-J-796002,Overground,Liverpool Street,London Bridge,10/09/2024 08:09,10/09/2024 08:40,3.13,9,City of London,Southwark
13/01/2024,TFL-J-494966,Tube,Victoria,Kings Cross,13/01/2024 12:39,13/01/2024 13:01,5.09,0,Westminster,Camden
03/02/2024,TFL-J-457784,Bus,Victoria,Bank,03/02/2024 07:35,03/02/2024 08:34,1.75,15,Westminster,City of London
09/12/2024,TFL-J-430238,Tube,Paddington,Waterloo,09/12/2024 08:00,09/12/2024 09:00,3.85,31,Westminster,Lambeth
05/10/2024,TFL-J-449786,Tube,Canary Wharf,Waterloo,05/10/2024 13:24,05/10/2024 13:49,2.84,4,Tower Hamlets,Lambeth
25/08/2024,TFL-J-881247,Tube,Stratford,Bank,25/08/2024 08:26,25/08/2024 09:06,11.36,2,Newham,City of London
21/09/2024,TFL-J-795761,Tube,Canary Wharf,Victoria,21/09/2024 19:22,21/09/2024 20:00,2.85,2,Tower Hamlets,Westminster
23/09/2024,TFL-J-279377,Tube,Euston,Stratford,23/09/2024 15:36,23/09/2024 16:06,5.19,5,Camden,Newham
29/12/2024,TFL-J-900454,Tube,Bank,Liverpool Street,29/12/2024 13:44,29/12/2024 14:15,3.48,2,City of London,City of London
15/02/2024,TFL-J-220428,Tube,Euston,Victoria,15/02/2024 09:18,15/02/2024 10:02,3.39,0,Camden,Westminster
12/01/2024,TFL-J-150061,Bus,London Bridge,Bank,12/01/2024 19:59,12/01/2024 20:38,1.75,2,Southwark,City of London
01/10/2024,TFL-J-368117,Tube,Bank,Kings Cross,01/10/2024 14:46,01/10/2024 15:05,4.95,4,City of London,Camden
09/03/2024,TFL-J-524493,Tube,Euston,Paddington,09/03/2024 07:29,09/03/2024 07:58,5.18,11,Camden,Westminster
17/10/2024,TFL-J-239252,Tube,Paddington,Euston,17/10/2024 19:48,17/10/2024 20:25,5.26,4,Westminster,Camden
06/06/2024,TFL-J-859193,Bus,Canary Wharf,Liverpool Street,06/06/2024 09:13,06/06/2024 09:42,1.75,0,Tower Hamlets,City of London
17/11/2024,TFL-J-586611,Bus,Kings Cross,Victoria,17/11/2024 07:16,17/11/2024 07:47,1.75,6,Camden,Westminster
22/01/2024,TFL-J-612381,Tube,Canary Wharf,Stratford,22/01/2024 12:12,22/01/2024 12:32,4.55,0,Tower Hamlets,Newham
02/05/2024,TFL-J-727167,Bus,Victoria,Euston,02/05/2024 10:56,02/05/2024 11:30,1.75,9,Westminster,Camden
01/09/2024,TFL-J-765248,Bus,Euston,Paddington,01/09/2024 19:39,01/09/2024 20:10,1.75,2,Camden,Westminster
30/04/2024,TFL-J-722653,Bus,London Bridge,Waterloo,30/04/2024 16:42,30/04/2024 17:22,1.75,7,Southwark,Lambeth
17/10/2024,TFL-J-781994,Tube,Canary Wharf,Victoria,17/10/2024 10:36,17/10/2024 10:56,2.95,0,Tower Hamlets,Westminster
20/02/2024,TFL-J-348764,Tube,Stratford,Victoria,20/02/2024 11:59,20/02/2024 12:45,5.05,2,Newham,Westminster
08/01/2024,TFL-J-500848,Tube,London Bridge,Kings Cross,08/01/2024 20:28,08/01/2024 21:22,3.67,13,Southwark,Camden
24/08/2024,TFL-J-948290,Tube,Waterloo,London Bridge,24/08/2024 18:13,24/08/2024 18:42,5.13,0,Lambeth,Southwark
06/03/2024,TFL-J-780679,Tube,Canary Wharf,Liverpool Street,06/03/2024 23:08,06/03/2024 23:43,4.41,5,Tower Hamlets,City of London
22/12/2024,TFL-J-704223,Tube,Victoria,Bank,22/12/2024 18:23,22/12/2024 18:45,3.64,2,Westminster,City of London
08/11/2024,TFL-J-697637,Bus,Paddington,Waterloo,08/11/2024 08:42,08/11/2024 09:13,1.75,2,Westminster,Lambeth
08/12/2024,TFL-J-281655,Tube,London Bridge,Victoria,08/12/2024 13:03,08/12/2024 13:45,3.26,0,Southwark,Westminster
16/09/2024,TFL-J-411830,Tube,Liverpool Street,Waterloo,16/09/2024 18:23,16/09/2024 19:03,5.4,23,City of London,Lambeth
01/03/2024,TFL-J-859153,Tube,Victoria,Bank,01/03/2024 08:41,01/03/2024 09:00,4.85,2,Westminster,City of London
12/08/2024,TFL-J-412827,Bus,London Bridge,Bank,12/08/2024 23:11,12/08/2024 23:55,1.75,2,Southwark,City of London
13/06/2024,TFL-J-877326,Tube,Stratford,Bank,13/06/2024 13:13,13/06/2024 13:52,3.59,0,Newham,City of London
30/12/2024,TFL-J-311100,Tube,Bank,London Bridge,30/12/2024 14:36,30/12/2024 15:27,4.26,6,City of London,Southwark
29/02/2024,TFL-J-566467,Tube,Victoria,Liverpool Street,29/02/2024 09:15,29/02/2024 09:34,4.99,4,Westminster,City of London
08/01/2024,TFL-J-267254,Bus,London Bridge,Waterloo,08/01/2024 14:55,08/01/2024 15:39,1.75,7,Southwark,Lambeth
27/03/2024,TFL-J-586003,Tube,Waterloo,Paddington,27/03/2024 18:20,27/03/2024 18:50,4.53,0,Lambeth,Westminster
14/09/2024,TFL-J-953063,Bus,Waterloo,Kings Cross,14/09/2024 09:15,14/09/2024 09:54,1.75,16,Lambeth,Camden
13/04/2024,TFL-J-394411,Tube,Euston,Stratford,13/04/2024 19:17,13/04/2024 19:41,4.58,2,Camden,Newham
20/02/2024,TFL-J-241353,Tube,Kings Cross,Euston,20/02/2024 15:21,20/02/2024 16:03,7.63,2,Camden,Camden
09/02/2024,TFL-J-701494,Tube,London Bridge,Waterloo,09/02/2024 12:07,09/02/2024 12:24,4.83,0,Southwark,Lambeth
09/03/2024,TFL-J-535724,Bus,Euston,Stratford,09/03/2024 14:17,09/03/2024 14:40,1.75,2,Camden,Newham
10/04/2024,TFL-J-765324,Bus,Victoria,Canary Wharf,10/04/2024 09:51,10/04/2024 10:30,1.75,6,Westminster,Tower Hamlets
10/12/2024,TFL-J-806771,Bus,Liverpool Street,Bank,10/12/2024 19:56,10/12/2024 19:56,1.75,3,City of London,City of London
03/06/2024,TFL-J-647843,Tube,Canary Wharf,Kings Cross,03/06/2024 17:51,03/06/2024 18:07,4.61,0,Tower Hamlets,Camden
05/12/2024,TFL-J-480010,Bus,Waterloo,Canary Wharf,05/12/2024 19:46,05/12/2024 20:37,1.75,11,Lambeth,Tower Hamlets
18/11/2024,TFL-J-416171,Tube,Canary Wharf,Victoria,18/11/2024 10:16,18/11/2024 11:02,4.17,3,Tower Hamlets,Westminster
20/03/2024,TFL-J-403221,Tube,Victoria,Euston,20/03/2024 10:29,20/03/2024 10:59,4.85,1,Westminster,Camden
05/12/2024,TFL-J-570276,Tube,Euston,Bank,05/12/2024 10:06,05/12/2024 10:43,10.36,3,Camden,City of London
24/08/2024,TFL-J-112711,Bus,Stratford,London Bridge,24/08/2024 18:28,24/08/2024 18:57,1.75,11,Newham,Southwark
23/03/2024,TFL-J-862437,Tube,Canary Wharf,Euston,23/03/2024 07:16,23/03/2024 08:15,5.03,30,Tower Hamlets,Camden
24/12/2024,TFL-J-865085,Tube,Bank,Euston,24/12/2024 18:17,24/12/2024 18:49,4.01,1,City of London,Camden
29/01/2024,TFL-J-690308,Tube,Canary Wharf,Victoria,29/01/2024 16:11,29/01/2024 16:40,4.28,10,Tower Hamlets,Westminster
26/02/2024,TFL-J-720257,Tube,Victoria,Kings Cross,26/02/2024 22:31,26/02/2024 22:51,4.53,0,Westminster,Camden
24/09/2024,TFL-J-637158,Tube,Bank,Liverpool Street,24/09/2024 08:46,24/09/2024 08:55,9.4,1,City of London,City of London
24/12/2024,TFL-J-999072,Tube,London Bridge,Paddington,24/12/2024 07:45,24/12/2024 08:35,4.13,5,Southwark,Westminster
07/12/2024,TFL-J-135728,Tube,Stratford,Canary Wharf,07/12/2024 07:12,07/12/2024 07:47,4.84,3,Newham,Tower Hamlets
31/01/2024,TFL-J-194028,Tube,Liverpool Street,Paddington,31/01/2024 16:46,31/01/2024 17:42,3.48,26,City of London,Westminster
10/06/2024,TFL-J-997701,Overground,Kings Cross,Paddington,10/06/2024 07:28,10/06/2024 07:50,4.48,7,Camden,Westminster
30/10/2024,TFL-J-583050,Tube,Euston,Waterloo,30/10/2024 22:55,30/10/2024 23:25,3.99,1,Camden,Lambeth
10/09/2024,TFL-J-285893,Tube,Paddington,Kings Cross,10/09/2024 07:14,10/09/2024 07:40,3.44,9,Westminster,Camden
17/11/2024,TFL-J-241998,Bus,Liverpool Street,Euston,17/11/2024 21:42,17/11/2024 22:29,1.75,3,City of London,Camden
30/08/2024,TFL-J-405565,Tube,Bank,Waterloo,30/08/2024 07:27,30/08/2024 08:00,10.31,8,City of London,Lambeth
31/10/2024,TFL-J-741961,Tube,Victoria,Euston,31/10/2024 09:18,31/10/2024 09:39,4.55,3,Westminster,Camden
04/12/2024,TFL-J-655891,Tube,Victoria,London Bridge,04/12/2024 19:55,04/12/2024 20:27,4.71,1,Westminster,Southwark
24/10/2024,TFL-J-235751,Tube,Waterloo,Canary Wharf,24/10/2024 10:36,24/10/2024 11:02,4.99,0,Lambeth,Tower Hamlets
13/02/2024,TFL-J-884109,Bus,Kings Cross,London Bridge,13/02/2024 21:30,13/02/2024 22:05,3.42,5,Camden,Southwark
01/05/2024,TFL-J-126816,Overground,London Bridge,Bank,01/05/2024 07:02,01/05/2024 07:31,2.9,12,Southwark,City of London
22/05/2024,TFL-J-198438,Tube,Victoria,Waterloo,22/05/2024 08:23,22/05/2024 08:55,3.5,3,Westminster,Lambeth
23/06/2024,TFL-J-418525,Tube,Canary Wharf,Euston,23/06/2024 09:41,23/06/2024 10:32,3.91,10,Tower Hamlets,Camden
22/12/2024,TFL-J-593073,Bus,Canary Wharf,Waterloo,22/12/2024 17:28,22/12/2024 18:09,1.75,11,Tower Hamlets,Lambeth
18/12/2024,TFL-J-870833,Tube,London Bridge,Bank,18/12/2024 20:11,18/12/2024 20:37,4.26,0,Southwark,City of London
02/02/2024,TFL-J-665393,Tube,Waterloo,Liverpool Street,02/02/2024 13:19,02/02/2024 13:50,7.59,2,Lambeth,City of London
18/12/2024,TFL-J-108312,Overground,Canary Wharf,Euston,18/12/2024 21:24,18/12/2024 21:59,3.96,0,Tower Hamlets,Camden
26/10/2024,TFL-J-840341,Tube,Liverpool Street,Canary Wharf,26/10/2024 13:58,26/10/2024 14:22,3.28,2,City of London,Tower Hamlets
10/01/2024,TFL-J-828680,Tube,Liverpool Street,Bank,10/01/2024 18:59,10/01/2024 19:42,3.13,10,City of London,City of London
03/03/2024,TFL-J-985814,Bus,Kings Cross,Bank,03/03/2024 17:41,03/03/2024 18:10,1.75,11,Camden,City of London
19/01/2024,TFL-J-244846,Overground,Stratford,Liverpool Street,19/01/2024 17:44,19/01/2024 17:51,9.4,10,Newham,City of London
24/11/2024,TFL-J-115421,Tube,Paddington,Canary Wharf,24/11/2024 08:37,24/11/2024 09:36,2.98,19,Westminster,Tower Hamlets
05/12/2024,TFL-J-283520,Tube,Waterloo,Euston,05/12/2024 07:15,05/12/2024 07:49,4.79,9,Lambeth,Camden
10/05/2024,TFL-J-294426,Tube,Paddington,Kings Cross,10/05/2024 17:46,10/05/2024 18:44,3.73,18,Westminster,Camden
15/01/2024,TFL-J-516074,Tube,Bank,Waterloo,15/01/2024 20:34,15/01/2024 21:18,4.36,0,City of London,Lambeth
07/08/2024,TFL-J-479902,Tube,Liverpool Street,Canary Wharf,07/08/2024 16:29,07/08/2024 17:05,4.1,7,City of London,Tower Hamlets
02/07/2024,TFL-J-624565,Tube,Bank,London Bridge,02/07/2024 17:37,02/07/2024 17:39,9.4,10,City of London,Southwark
09/01/2024,TFL-J-227090,Tube,Canary Wharf,Paddington,09/01/2024 18:48,09/01/2024 19:44,5.15,27,Tower Hamlets,Westminster
18/06/2024,TFL-J-517330,Bus,Stratford,Waterloo,18/06/2024 17:11,18/06/2024 17:58,1.75,3,Newham,Lambeth
18/09/2024,TFL-J-719911,Tube,Euston,Stratford,18/09/2024 23:36,19/09/2024 00:24,5.36,3,Camden,Newham
20/07/2024,TFL-J-427155,Tube,Paddington,London Bridge,20/07/2024 07:37,20/07/2024 08:15,3.28,7,Westminster,Southwark
17/10/2024,TFL-J-759181,Tube,Paddington,Euston,17/10/2024 20:42,17/10/2024 21:09,4.49,1,Westminster,Camden
21/02/2024,TFL-J-168134,Tube,London Bridge,Kings Cross,21/02/2024 07:20,21/02/2024 07:44,3.74,0,Southwark,Camden
28/02/2024,TFL-J-367932,Tube,Waterloo,Stratford,28/02/2024 16:56,28/02/2024 17:50,4.36,13,Lambeth,Newham
02/09/2024,TFL-J-416216,Bus,Bank,Liverpool Street,02/09/2024 09:06,02/09/2024 10:01,1.75,12,City of London,City of London
18/05/2024,TFL-J-664764,Tube,Stratford,Canary Wharf,18/05/2024 08:52,18/05/2024 09:46,3.1,16,Newham,Tower Hamlets
30/06/2024,TFL-J-904477,Tube,Victoria,Canary Wharf,30/06/2024 07:58,30/06/2024 08:16,4.55,0,Westminster,Tower Hamlets
19/01/2024,TFL-J-547984,Bus,Bank,Liverpool Street,19/01/2024 08:17,19/01/2024 08:42,1.75,5,City of London,City of London
15/04/2024,TFL-J-185899,Tube,London Bridge,Waterloo,15/04/2024 20:28,15/04/2024 21:01,4.62,0,Southwark,Lambeth
07/10/2024,TFL-J-771737,Bus,Euston,Kings Cross,07/10/2024 14:19,07/10/2024 14:56,1.75,0,Camden,Camden
30/05/2024,TFL-J-601484,Overground,Bank,London Bridge,30/05/2024 16:24,30/05/2024 17:01,3.5,12,City of London,Southwark
02/06/2024,TFL-J-568116,Tube,Bank,Kings Cross,02/06/2024 09:27,02/06/2024 10:14,3.69,20,City of London,Camden
26/08/2024,TFL-J-686902,Bus,Victoria,Waterloo,26/08/2024 17:01,26/08/2024 17:43,1.75,12,Westminster,Lambeth
23/10/2024,TFL-J-140776,Tube,Paddington,Kings Cross,23/10/2024 18:55,23/10/2024 19:44,3.87,11,Westminster,Camden
29/07/2024,TFL-J-258093,Tube,London Bridge,Bank,29/07/2024 19:27,29/07/2024 19:02,4.48,1,Southwark,City of London
27/03/2024,TFL-J-340467,Tube,Canary Wharf,Liverpool Street,27/03/2024 20:24,27/03/2024 21:06,4.52,6,Tower Hamlets,City of London
27/06/2024,TFL-J-584457,Bus,Waterloo,Euston,27/06/2024 09:04,27/06/2024 08:09,1.75,14,Lambeth,Camden
11/08/2024,TFL-J-557555,Tube,Bank,Paddington,11/08/2024 13:07,11/08/2024 13:23,2.89,1,City of London,Westminster
06/09/2024,TFL-J-517275,Bus,Paddington,Bank,06/09/2024 17:14,06/09/2024 17:55,1.75,5,Westminster,City of London
13/12/2024,TFL-J-415758,Tube,Waterloo,Canary Wharf,13/12/2024 08:13,13/12/2024 08:31,3.13,0,Lambeth,Tower Hamlets
04/07/2024,TFL-J-354508,Tube,Liverpool Street,Stratford,04/07/2024 17:57,04/07/2024 18:25,5.28,10,City of London,Newham
11/06/2024,TFL-J-650295,Tube,Stratford,London Bridge,11/06/2024 18:07,11/06/2024 18:50,4.37,15,Newham,Southwark
28/09/2024,TFL-J-419340,Tube,London Bridge,Victoria,28/09/2024 18:26,28/09/2024 19:16,4.64,13,Southwark,Westminster
07/10/2024,TFL-J-336999,Bus,Paddington,Stratford,07/10/2024 07:43,07/10/2024 08:24,1.75,1,Westminster,Newham
08/09/2024,TFL-J-405178,Tube,London Bridge,Waterloo,08/09/2024 09:09,08/09/2024 10:30,3.02,36,Southwark,Lambeth
24/06/2024,TFL-J-471472,Bus,London Bridge,Waterloo,24/06/2024 18:06,24/06/2024 18:33,1.75,4,Southwark,Lambeth
20/05/2024,TFL-J-640915,Bus,Paddington,Liverpool Street,20/05/2024 08:20,20/05/2024 08:47,1.75,3,Westminster,City of London
10/12/2024,TFL-J-297144,Bus,Victoria,Canary Wharf,10/12/2024 16:57,10/12/2024 17:29,1.75,7,Westminster,Tower Hamlets
24/01/2024,TFL-J-645280,Bus,Stratford,Victoria,24/01/2024 09:30,24/01/2024 09:35,9.4,0,Newham,Westminster
13/10/2024,TFL-J-327356,Tube,Paddington,London Bridge,13/10/2024 12:14,13/10/2024 12:35,2.89,1,Westminster,Southwark
19/07/2024,TFL-J-929598,Bus,Kings Cross,Stratford,19/07/2024 11:41,19/07/2024 12:26,1.75,0,Camden,Newham
11/04/2024,TFL-J-722823,Tube,Liverpool Street,Bank,11/04/2024 17:14,11/04/2024 18:06,5.46,21,City of London,City of London
19/08/2024,TFL-J-890355,Tube,Canary Wharf,Waterloo,19/08/2024 08:54,19/08/2024 09:26,5.48,8,Tower Hamlets,Lambeth
07/04/2024,TFL-J-139486,Tube,Canary Wharf,Waterloo,07/04/2024 07:23,07/04/2024 08:09,4.32,3,Tower Hamlets,Lambeth
10/01/2024,TFL-J-169491,Tube,Paddington,Victoria,10/01/2024 07:17,10/01/2024 08:05,5.39,7,Westminster,Westminster
02/07/2024,TFL-J-469108,Overground,Euston,Canary Wharf,02/07/2024 07:07,02/07/2024 07:42,4.66,9,Camden,Tower Hamlets
30/10/2024,TFL-J-295014,Overground,Euston,Victoria,30/10/2024 17:00,30/10/2024 17:37,5.47,15,Camden,Westminster
08/07/2024,TFL-J-288035,Bus,Bank,Liverpool Street,08/07/2024 08:43,08/07/2024 09:15,1.75,5,City of London,City of London
20/01/2024,TFL-J-127310,Tube,Stratford,Victoria,20/01/2024 08:38,20/01/2024 09:08,3.5,0,Newham,Westminster
08/12/2024,TFL-J-940146,Tube,Bank,Euston,08/12/2024 07:33,08/12/2024 08:05,4.32,3,City of London,Camden
11/07/2024,TFL-J-139398,Overground,Paddington,Bank,11/07/2024 17:46,11/07/2024 18:09,4.58,0,Westminster,City of London
15/11/2024,TFL-J-177433,Overground,Victoria,Euston,15/11/2024 07:02,15/11/2024 07:30,4.19,2,Westminster,Camden
03/04/2024,TFL-J-524439,Tube,Waterloo,Canary Wharf,03/04/2024 17:16,03/04/2024 18:02,3.97,4,Lambeth,Tower Hamlets
13/06/2024,TFL-J-863267,Tube,Bank,London Bridge,13/06/2024 17:28,13/06/2024 18:36,4.48,31,City of London,Southwark
10/09/2024,TFL-J-722580,Bus,Kings Cross,Bank,10/09/2024 09:49,10/09/2024 10:35,1.75,10,Camden,City of London
10/05/2024,TFL-J-533692,Bus,London Bridge,Waterloo,10/05/2024 08:23,10/05/2024 09:08,1.75,15,Southwark,Lambeth
17/11/2024,TFL-J-451453,Tube,Stratford,London Bridge,17/11/2024 23:31,18/11/2024 00:00,3.85,7,Newham,Southwark
02/01/2024,TFL-J-520580,Bus,Euston,Canary Wharf,02/01/2024 08:26,02/01/2024 09:11,1.75,14,Camden,Tower Hamlets
05/09/2024,TFL-J-447811,Tube,Waterloo,Euston,05/09/2024 17:07,05/09/2024 17:48,4.53,0,Lambeth,Camden
29/01/2024,TFL-J-215444,Bus,Waterloo,London Bridge,29/01/2024 14:28,29/01/2024 14:54,1.75,1,Lambeth,Southwark
06/06/2024,TFL-J-737890,Tube,Stratford,Paddington,06/06/2024 08:38,06/06/2024 09:13,3.78,19,Newham,Westminster
20/05/2024,TFL-J-712874,Tube,Liverpool Street,Bank,20/05/2024 15:46,20/05/2024 16:06,4.82,0,City of London,City of London
11/12/2024,TFL-J-483278,Overground,Liverpool Street,Canary Wharf,11/12/2024 08:42,11/12/2024 09:10,4.45,2,City of London,Tower Hamlets
29/08/2024,TFL-J-984554,Tube,Bank,Stratford,29/08/2024 19:16,29/08/2024 18:28,4.67,6,City of London,Newham
19/12/2024,TFL-J-301418,Tube,Paddington,Bank,19/12/2024 09:43,19/12/2024 10:43,3.55,27,Westminster,City of London
04/06/2024,TFL-J-751951,Overground,Canary Wharf,Paddington,04/06/2024 07:36,04/06/2024 08:33,3.83,13,Tower Hamlets,Westminster
09/07/2024,TFL-J-347770,Tube,Euston,Stratford,09/07/2024 16:11,09/07/2024 16:36,2.98,2,Camden,Newham
05/01/2024,TFL-J-814642,Tube,Bank,Paddington,05/01/2024 08:59,05/01/2024 09:43,4.17,3,City of London,Westminster
25/12/2024,TFL-J-415395,Bus,Kings Cross,Paddington,25/12/2024 09:52,25/12/2024 09:03,1.75,7,Camden,Westminster
17/08/2024,TFL-J-876531,Bus,Paddington,Victoria,17/08/2024 08:21,17/08/2024 08:39,1.75,0,Westminster,Westminster
12/12/2024,TFL-J-725005,Bus,Bank,Canary Wharf,12/12/2024 08:37,12/12/2024 09:11,4.76,4,City of London,Tower Hamlets
12/10/2024,TFL-J-511451,Tube,Bank,Victoria,12/10/2024 07:29,12/10/2024 07:53,3.42,2,City of London,Westminster
19/11/2024,TFL-J-439299,Tube,Euston,London Bridge,19/11/2024 21:14,19/11/2024 21:53,4.43,5,Camden,Southwark
