Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration,Cost_Per_Minute,Time_of_Day,Congestion_Tier
2024-08-16,TFL-J-585197,Bus,Liverpool Street,Waterloo,2024-08-16 09:13:00,2024-08-16 09:51:00,1.75,5,City of London,Lambeth,38.0,0.046052631578947366,Peak AM,Smooth
2024-10-09,TFL-J-145305,Overground,Kings Cross,Euston,2024-10-09 09:27:00,2024-10-09 09:29:00,9.4,6,Camden,Camden,2.0,4.7,Peak AM,Minor Delays
2024-01-05,TFL-J-808131,Bus,Canary Wharf,Paddington,2024-01-05 12:16:00,2024-01-05 13:00:00,1.75,1,Tower Hamlets,Westminster,44.0,0.03977272727272727,Off-Peak,Smooth
2024-09-04,TFL-J-539916,Tube,Canary Wharf,London Bridge,2024-09-04 08:51:00,2024-09-04 09:37:00,5.11,8,Tower Hamlets,Southwark,46.0,0.11108695652173914,Peak AM,Minor Delays
2024-07-20,TFL-J-671502,Tube,Canary Wharf,Liverpool Street,2024-07-20 09:46:00,2024-07-20 10:41:00,3.39,13,Tower Hamlets,City of London,55.0,0.06163636363636364,Peak AM,High Friction
2024-12-10,TFL-J-661811,Bus,Liverpool Street,Stratford,2024-12-10 07:16:00,2024-12-10 07:51:00,3.44,16,City of London,Newham,35.0,0.09828571428571428,Peak AM,High Friction
2024-02-11,TFL-J-861473,Tube,Bank,Paddington,2024-02-11 07:19:00,2024-02-11 08:08:00,3.29,15,City of London,Westminster,49.0,0.06714285714285714,Peak AM,High Friction
2024-04-26,TFL-J-157655,Tube,Stratford,Waterloo,2024-04-26 13:30:00,2024-04-26 14:09:00,4.58,1,Newham,Lambeth,39.0,0.11743589743589744,Off-Peak,Smooth
2024-10-27,TFL-J-933977,Tube,London Bridge,Kings Cross,2024-10-27 09:33:00,2024-10-27 10:08:00,3.34,0,Southwark,Camden,35.0,0.09542857142857142,Peak AM,Smooth
2024-07-19,TFL-J-120376,Bus,Euston,Kings Cross,2024-07-19 16:23:00,2024-07-19 17:12:00,1.75,12,Camden,Camden,49.0,0.03571428571428571,Peak PM,High Friction
2024-07-30,TFL-J-552454,Tube,Bank,Liverpool Street,2024-07-30 17:42:00,2024-07-30 18:18:00,4.23,15,City of London,City of London,36.0,0.11750000000000001,Peak PM,High Friction
2024-07-01,TFL-J-587773,Tube,Kings Cross,Bank,2024-07-01 09:52:00,2024-07-01 11:23:00,3.05,47,Camden,City of London,91.0,0.033516483516483515,Peak AM,Severe Friction
2024-11-06,TFL-J-107982,Bus,Paddington,Victoria,2024-11-06 07:42:00,2024-11-06 08:48:00,5.05,23,Westminster,Westminster,66.0,0.07651515151515151,Peak AM,Severe Friction
2024-08-12,TFL-J-204198,Tube,Canary Wharf,Paddington,2024-08-12 15:44:00,2024-08-12 16:03:00,3.98,2,Tower Hamlets,Westminster,19.0,0.2094736842105263,Off-Peak,Smooth
2024-06-23,TFL-J-214569,Bus,Kings Cross,Waterloo,2024-06-23 09:55:00,2024-06-23 10:19:00,1.75,6,Camden,Lambeth,24.0,0.07291666666666667,Peak AM,Minor Delays
2024-05-30,TFL-J-775791,Tube,Stratford,Canary Wharf,2024-05-30 09:25:00,2024-05-30 09:51:00,4.06,5,Newham,Tower Hamlets,26.0,0.15615384615384614,Peak AM,Smooth
2024-12-20,TFL-J-828900,Bus,Canary Wharf,Euston,2024-12-20 18:46:00,2024-12-20 19:30:00,1.75,2,Tower Hamlets,Camden,44.0,0.03977272727272727,Peak PM,Smooth
2024-02-25,TFL-J-228649,Bus,Kings Cross,London Bridge,2024-02-25 16:59:00,2024-02-25 17:56:00,1.75,15,Camden,Southwark,57.0,0.03070175438596491,Peak PM,High Friction
2024-07-14,TFL-J-773389,Bus,Liverpool Street,Victoria,2024-07-14 09:16:00,2024-07-14 09:41:00,1.75,1,City of London,Westminster,25.0,0.07,Peak AM,Smooth
2024-01-20,TFL-J-327912,Bus,Euston,Stratford,2024-01-20 12:22:00,2024-01-20 12:40:00,1.75,0,Camden,Newham,18.0,0.09722222222222222,Off-Peak,Smooth
2024-10-03,TFL-J-305359,Overground,Waterloo,Bank,2024-10-03 21:41:00,2024-10-03 22:24:00,3.33,2,Lambeth,City of London,43.0,0.07744186046511628,Night,Smooth
2024-08-02,TFL-J-425414,Tube,Euston,Victoria,2024-08-02 17:56:00,2024-08-02 19:58:00,4.42,91,Camden,Westminster,122.0,0.03622950819672131,Peak PM,High Friction
2024-08-25,TFL-J-874595,Tube,Liverpool Street,Bank,2024-08-25 18:53:00,2024-08-25 19:28:00,4.0,0,City of London,City of London,35.0,0.11428571428571428,Peak PM,Smooth
2024-06-18,TFL-J-119151,Tube,London Bridge,Paddington,2024-06-18 07:15:00,2024-06-18 07:32:00,2.87,1,Southwark,Westminster,17.0,0.1688235294117647,Peak AM,Smooth
2024-07-02,TFL-J-167933,Tube,Victoria,Liverpool Street,2024-07-02 17:12:00,2024-07-02 17:20:00,9.4,3,Westminster,City of London,8.0,1.175,Peak PM,Smooth
2024-10-14,TFL-J-452521,Tube,Waterloo,Canary Wharf,2024-10-14 17:11:00,2024-10-14 18:04:00,3.93,14,Lambeth,Tower Hamlets,53.0,0.07415094339622642,Peak PM,High Friction
2024-01-19,TFL-J-434772,Bus,Paddington,Waterloo,2024-01-19 16:02:00,2024-01-19 16:49:00,1.75,8,Westminster,Lambeth,47.0,0.03723404255319149,Peak PM,Minor Delays
2024-09-04,TFL-J-623926,Bus,Bank,Canary Wharf,2024-09-04 07:00:00,2024-09-04 08:02:00,1.75,17,City of London,Tower Hamlets,62.0,0.028225806451612902,Peak AM,Severe Friction
2024-10-10,TFL-J-483645,Tube,Victoria,London Bridge,2024-10-10 08:49:00,2024-10-10 09:33:00,3.24,3,Westminster,Southwark,44.0,0.07363636363636364,Peak AM,Smooth
2024-05-01,TFL-J-801691,Bus,Paddington,Canary Wharf,2024-05-01 10:20:00,2024-05-01 11:04:00,1.75,0,Westminster,Tower Hamlets,44.0,0.03977272727272727,Off-Peak,Smooth
2024-01-03,TFL-J-748296,Bus,Liverpool Street,Waterloo,2024-01-03 17:24:00,2024-01-03 18:11:00,4.6,10,City of London,Lambeth,47.0,0.0978723404255319,Peak PM,Minor Delays
2024-01-05,TFL-J-626169,Bus,Stratford,Paddington,2024-01-05 18:28:00,2024-01-05 19:13:00,1.75,6,Newham,Westminster,45.0,0.03888888888888889,Peak PM,Minor Delays
2024-12-22,TFL-J-227137,Tube,Paddington,Waterloo,2024-12-22 16:09:00,2024-12-22 16:36:00,4.12,2,Westminster,Lambeth,27.0,0.15259259259259259,Peak PM,Smooth
2024-02-04,TFL-J-516738,Bus,Bank,Victoria,2024-02-04 16:46:00,2024-02-04 17:38:00,1.75,14,City of London,Westminster,52.0,0.03365384615384615,Peak PM,High Friction
2024-10-10,TFL-J-960872,Tube,Kings Cross,London Bridge,2024-10-10 07:04:00,2024-10-10 07:37:00,5.12,3,Camden,Southwark,33.0,0.15515151515151515,Peak AM,Smooth
2024-01-05,TFL-J-128759,Bus,Canary Wharf,London Bridge,2024-01-05 11:45:00,2024-01-05 12:22:00,1.75,13,Tower Hamlets,Southwark,37.0,0.0472972972972973,Off-Peak,High Friction
2024-03-24,TFL-J-751052,Bus,Victoria,Paddington,2024-03-24 13:28:00,2024-03-24 13:48:00,1.75,0,Westminster,Westminster,20.0,0.0875,Off-Peak,Smooth
2024-03-19,TFL-J-618866,Tube,Euston,Canary Wharf,2024-03-19 08:09:00,2024-03-19 08:26:00,9.1,1,Camden,Tower Hamlets,17.0,0.5352941176470588,Peak AM,Smooth
2024-09-10,TFL-J-796002,Overground,Liverpool Street,London Bridge,2024-09-10 08:09:00,2024-09-10 08:40:00,3.13,9,City of London,Southwark,31.0,0.10096774193548387,Peak AM,Minor Delays
2024-01-13,TFL-J-494966,Tube,Victoria,Kings Cross,2024-01-13 12:39:00,2024-01-13 13:01:00,5.09,0,Westminster,Camden,22.0,0.23136363636363635,Off-Peak,Smooth
2024-02-03,TFL-J-457784,Bus,Victoria,Bank,2024-02-03 07:35:00,2024-02-03 08:34:00,1.75,15,Westminster,City of London,59.0,0.029661016949152543,Peak AM,High Friction
2024-12-09,TFL-J-430238,Tube,Paddington,Waterloo,2024-12-09 08:00:00,2024-12-09 09:00:00,3.85,31,Westminster,Lambeth,60.0,0.06416666666666666,Peak AM,High Friction
2024-10-05,TFL-J-449786,Tube,Canary Wharf,Waterloo,2024-10-05 13:24:00,2024-10-05 13:49:00,2.84,4,Tower Hamlets,Lambeth,25.0,0.11359999999999999,Off-Peak,Smooth
2024-08-25,TFL-J-881247,Tube,Stratford,Bank,2024-08-25 08:26:00,2024-08-25 09:06:00,11.36,2,Newham,City of London,40.0,0.284,Peak AM,Smooth
2024-09-21,TFL-J-795761,Tube,Canary Wharf,Victoria,2024-09-21 19:22:00,2024-09-21 20:00:00,2.85,2,Tower Hamlets,Westminster,38.0,0.075,Night,Smooth
2024-09-23,TFL-J-279377,Tube,Euston,Stratford,2024-09-23 15:36:00,2024-09-23 16:06:00,5.19,5,Camden,Newham,30.0,0.17300000000000001,Off-Peak,Smooth
2024-12-29,TFL-J-900454,Tube,Bank,Liverpool Street,2024-12-29 13:44:00,2024-12-29 14:15:00,3.48,2,City of London,City of London,31.0,0.11225806451612903,Off-Peak,Smooth
2024-02-15,TFL-J-220428,Tube,Euston,Victoria,2024-02-15 09:18:00,2024-02-15 10:02:00,3.39,0,Camden,Westminster,44.0,0.07704545454545454,Peak AM,Smooth
2024-01-12,TFL-J-150061,Bus,London Bridge,Bank,2024-01-12 19:59:00,2024-01-12 20:38:00,1.75,2,Southwark,City of London,39.0,0.04487179487179487,Night,Smooth
2024-10-01,TFL-J-368117,Tube,Bank,Kings Cross,2024-10-01 14:46:00,2024-10-01 15:05:00,4.95,4,City of London,Camden,19.0,0.2605263157894737,Off-Peak,Smooth
2024-03-09,TFL-J-524493,Tube,Euston,Paddington,2024-03-09 07:29:00,2024-03-09 07:58:00,5.18,11,Camden,Westminster,29.0,0.17862068965517242,Peak AM,High Friction
2024-10-17,TFL-J-239252,Tube,Paddington,Euston,2024-10-17 19:48:00,2024-10-17 20:25:00,5.26,4,Westminster,Camden,37.0,0.14216216216216215,Night,Smooth
2024-06-06,TFL-J-859193,Bus,Canary Wharf,Liverpool Street,2024-06-06 09:13:00,2024-06-06 09:42:00,1.75,0,Tower Hamlets,City of London,29.0,0.0603448275862069,Peak AM,Smooth
2024-11-17,TFL-J-586611,Bus,Kings Cross,Victoria,2024-11-17 07:16:00,2024-11-17 07:47:00,1.75,6,Camden,Westminster,31.0,0.056451612903225805,Peak AM,Minor Delays
2024-01-22,TFL-J-612381,Tube,Canary Wharf,Stratford,2024-01-22 12:12:00,2024-01-22 12:32:00,4.55,0,Tower Hamlets,Newham,20.0,0.22749999999999998,Off-Peak,Smooth
2024-05-02,TFL-J-727167,Bus,Victoria,Euston,2024-05-02 10:56:00,2024-05-02 11:30:00,1.75,9,Westminster,Camden,34.0,0.051470588235294115,Off-Peak,Minor Delays
2024-09-01,TFL-J-765248,Bus,Euston,Paddington,2024-09-01 19:39:00,2024-09-01 20:10:00,1.75,2,Camden,Westminster,31.0,0.056451612903225805,Night,Smooth
2024-04-30,TFL-J-722653,Bus,London Bridge,Waterloo,2024-04-30 16:42:00,2024-04-30 17:22:00,1.75,7,Southwark,Lambeth,40.0,0.04375,Peak PM,Minor Delays
2024-10-17,TFL-J-781994,Tube,Canary Wharf,Victoria,2024-10-17 10:36:00,2024-10-17 10:56:00,2.95,0,Tower Hamlets,Westminster,20.0,0.14750000000000002,Off-Peak,Smooth
2024-02-20,TFL-J-348764,Tube,Stratford,Victoria,2024-02-20 11:59:00,2024-02-20 12:45:00,5.05,2,Newham,Westminster,46.0,0.10978260869565216,Off-Peak,Smooth
2024-01-08,TFL-J-500848,Tube,London Bridge,Kings Cross,2024-01-08 20:28:00,2024-01-08 21:22:00,3.67,13,Southwark,Camden,54.0,0.06796296296296296,Night,High Friction
2024-08-24,TFL-J-948290,Tube,Waterloo,London Bridge,2024-08-24 18:13:00,2024-08-24 18:42:00,5.13,0,Lambeth,Southwark,29.0,0.17689655172413793,Peak PM,Smooth
2024-03-06,TFL-J-780679,Tube,Canary Wharf,Liverpool Street,2024-03-06 23:08:00,2024-03-06 23:43:00,4.41,5,Tower Hamlets,City of London,35.0,0.126,Night,Smooth
2024-12-22,TFL-J-704223,Tube,Victoria,Bank,2024-12-22 18:23:00,2024-12-22 18:45:00,3.64,2,Westminster,City of London,22.0,0.16545454545454547,Peak PM,Smooth
2024-11-08,TFL-J-697637,Bus,Paddington,Waterloo,2024-11-08 08:42:00,2024-11-08 09:13:00,1.75,2,Westminster,Lambeth,31.0,0.056451612903225805,Peak AM,Smooth
2024-12-08,TFL-J-281655,Tube,London Bridge,Victoria,2024-12-08 13:03:00,2024-12-08 13:45:00,3.26,0,Southwark,Westminster,42.0,0.07761904761904762,Off-Peak,Smooth
2024-09-16,TFL-J-411830,Tube,Liverpool Street,Waterloo,2024-09-16 18:23:00,2024-09-16 19:03:00,5.4,23,City of London,Lambeth,40.0,0.135,Peak PM,High Friction
2024-03-01,TFL-J-859153,Tube,Victoria,Bank,2024-03-01 08:41:00,2024-03-01 09:00:00,4.85,2,Westminster,City of London,19.0,0.2552631578947368,Peak AM,Smooth
2024-08-12,TFL-J-412827,Bus,London Bridge,Bank,2024-08-12 23:11:00,2024-08-12 23:55:00,1.75,2,Southwark,City of London,44.0,0.03977272727272727,Night,Smooth
2024-06-13,TFL-J-877326,Tube,Stratford,Bank,2024-06-13 13:13:00,2024-06-13 13:52:00,3.59,0,Newham,City of London,39.0,0.09205128205128205,Off-Peak,Smooth
2024-12-30,TFL-J-311100,Tube,Bank,London Bridge,2024-12-30 14:36:00,2024-12-30 15:27:00,4.26,6,City of London,Southwark,51.0,0.08352941176470588,Off-Peak,Minor Delays
2024-02-29,TFL-J-566467,Tube,Victoria,Liverpool Street,2024-02-29 09:15:00,2024-02-29 09:34:00,4.99,4,Westminster,City of London,19.0,0.26263157894736844,Peak AM,Smooth
2024-01-08,TFL-J-267254,Bus,London Bridge,Waterloo,2024-01-08 14:55:00,2024-01-08 15:39:00,1.75,7,Southwark,Lambeth,44.0,0.03977272727272727,Off-Peak,Minor Delays
2024-03-27,TFL-J-586003,Tube,Waterloo,Paddington,2024-03-27 18:20:00,2024-03-27 18:50:00,4.53,0,Lambeth,Westminster,30.0,0.151,Peak PM,Smooth
2024-09-14,TFL-J-953063,Bus,Waterloo,Kings Cross,2024-09-14 09:15:00,2024-09-14 09:54:00,1.75,16,Lambeth,Camden,39.0,0.04487179487179487,Peak AM,High Friction
2024-04-13,TFL-J-394411,Tube,Euston,Stratford,2024-04-13 19:17:00,2024-04-13 19:41:00,4.58,2,Camden,Newham,24.0,0.19083333333333333,Night,Smooth
2024-02-20,TFL-J-241353,Tube,Kings Cross,Euston,2024-02-20 15:21:00,2024-02-20 16:03:00,7.63,2,Camden,Camden,42.0,0.18166666666666667,Off-Peak,Smooth
2024-02-09,TFL-J-701494,Tube,London Bridge,Waterloo,2024-02-09 12:07:00,2024-02-09 12:24:00,4.83,0,Southwark,Lambeth,17.0,0.28411764705882353,Off-Peak,Smooth
2024-03-09,TFL-J-535724,Bus,Euston,Stratford,2024-03-09 14:17:00,2024-03-09 14:40:00,1.75,2,Camden,Newham,23.0,0.07608695652173914,Off-Peak,Smooth
2024-04-10,TFL-J-765324,Bus,Victoria,Canary Wharf,2024-04-10 09:51:00,2024-04-10 10:30:00,1.75,6,Westminster,Tower Hamlets,39.0,0.04487179487179487,Peak AM,Minor Delays
2024-06-03,TFL-J-647843,Tube,Canary Wharf,Kings Cross,2024-06-03 17:51:00,2024-06-03 18:07:00,4.61,0,Tower Hamlets,Camden,16.0,0.288125,Peak PM,Smooth
2024-12-05,TFL-J-480010,Bus,Waterloo,Canary Wharf,2024-12-05 19:46:00,2024-12-05 20:37:00,1.75,11,Lambeth,Tower Hamlets,51.0,0.03431372549019608,Night,High Friction
2024-11-18,TFL-J-416171,Tube,Canary Wharf,Victoria,2024-11-18 10:16:00,2024-11-18 11:02:00,4.17,3,Tower Hamlets,Westminster,46.0,0.09065217391304348,Off-Peak,Smooth
2024-03-20,TFL-J-403221,Tube,Victoria,Euston,2024-03-20 10:29:00,2024-03-20 10:59:00,4.85,1,Westminster,Camden,30.0,0.16166666666666665,Off-Peak,Smooth
2024-12-05,TFL-J-570276,Tube,Euston,Bank,2024-12-05 10:06:00,2024-12-05 10:43:00,10.36,3,Camden,City of London,37.0,0.27999999999999997,Off-Peak,Smooth
2024-08-24,TFL-J-112711,Bus,Stratford,London Bridge,2024-08-24 18:28:00,2024-08-24 18:57:00,1.75,11,Newham,Southwark,29.0,0.0603448275862069,Peak PM,High Friction
2024-03-23,TFL-J-862437,Tube,Canary Wharf,Euston,2024-03-23 07:16:00,2024-03-23 08:15:00,5.03,30,Tower Hamlets,Camden,59.0,0.0852542372881356,Peak AM,High Friction
2024-12-24,TFL-J-865085,Tube,Bank,Euston,2024-12-24 18:17:00,2024-12-24 18:49:00,4.01,1,City of London,Camden,32.0,0.1253125,Peak PM,Smooth
2024-01-29,TFL-J-690308,Tube,Canary Wharf,Victoria,2024-01-29 16:11:00,2024-01-29 16:40:00,4.28,10,Tower Hamlets,Westminster,29.0,0.14758620689655172,Peak PM,Minor Delays
2024-02-26,TFL-J-720257,Tube,Victoria,Kings Cross,2024-02-26 22:31:00,2024-02-26 22:51:00,4.53,0,Westminster,Camden,20.0,0.2265,Night,Smooth
2024-09-24,TFL-J-637158,Tube,Bank,Liverpool Street,2024-09-24 08:46:00,2024-09-24 08:55:00,9.4,1,City of London,City of London,9.0,1.0444444444444445,Peak AM,Smooth
2024-12-24,TFL-J-999072,Tube,London Bridge,Paddington,2024-12-24 07:45:00,2024-12-24 08:35:00,4.13,5,Southwark,Westminster,50.0,0.08259999999999999,Peak AM,Smooth
2024-12-07,TFL-J-135728,Tube,Stratford,Canary Wharf,2024-12-07 07:12:00,2024-12-07 07:47:00,4.84,3,Newham,Tower Hamlets,35.0,0.1382857142857143,Peak AM,Smooth
2024-01-31,TFL-J-194028,Tube,Liverpool Street,Paddington,2024-01-31 16:46:00,2024-01-31 17:42:00,3.48,26,City of London,Westminster,56.0,0.062142857142857146,Peak PM,High Friction
2024-06-10,TFL-J-997701,Overground,Kings Cross,Paddington,2024-06-10 07:28:00,2024-06-10 07:50:00,4.48,7,Camden,Westminster,22.0,0.20363636363636364,Peak AM,Minor Delays
2024-10-30,TFL-J-583050,Tube,Euston,Waterloo,2024-10-30 22:55:00,2024-10-30 23:25:00,3.99,1,Camden,Lambeth,30.0,0.133,Night,Smooth
2024-09-10,TFL-J-285893,Tube,Paddington,Kings Cross,2024-09-10 07:14:00,2024-09-10 07:40:00,3.44,9,Westminster,Camden,26.0,0.1323076923076923,Peak AM,Minor Delays
2024-11-17,TFL-J-241998,Bus,Liverpool Street,Euston,2024-11-17 21:42:00,2024-11-17 22:29:00,1.75,3,City of London,Camden,47.0,0.03723404255319149,Night,Smooth
2024-08-30,TFL-J-405565,Tube,Bank,Waterloo,2024-08-30 07:27:00,2024-08-30 08:00:00,10.31,8,City of London,Lambeth,33.0,0.31242424242424244,Peak AM,Minor Delays
2024-10-31,TFL-J-741961,Tube,Victoria,Euston,2024-10-31 09:18:00,2024-10-31 09:39:00,4.55,3,Westminster,Camden,21.0,0.21666666666666665,Peak AM,Smooth
2024-12-04,TFL-J-655891,Tube,Victoria,London Bridge,2024-12-04 19:55:00,2024-12-04 20:27:00,4.71,1,Westminster,Southwark,32.0,0.1471875,Night,Smooth
2024-10-24,TFL-J-235751,Tube,Waterloo,Canary Wharf,2024-10-24 10:36:00,2024-10-24 11:02:00,4.99,0,Lambeth,Tower Hamlets,26.0,0.19192307692307692,Off-Peak,Smooth
2024-02-13,TFL-J-884109,Bus,Kings Cross,London Bridge,2024-02-13 21:30:00,2024-02-13 22:05:00,3.42,5,Camden,Southwark,35.0,0.09771428571428571,Night,Smooth
2024-05-01,TFL-J-126816,Overground,London Bridge,Bank,2024-05-01 07:02:00,2024-05-01 07:31:00,2.9,12,Southwark,City of London,29.0,0.09999999999999999,Peak AM,High Friction
2024-05-22,TFL-J-198438,Tube,Victoria,Waterloo,2024-05-22 08:23:00,2024-05-22 08:55:00,3.5,3,Westminster,Lambeth,32.0,0.109375,Peak AM,Smooth
2024-06-23,TFL-J-418525,Tube,Canary Wharf,Euston,2024-06-23 09:41:00,2024-06-23 10:32:00,3.91,10,Tower Hamlets,Camden,51.0,0.07666666666666667,Peak AM,Minor Delays
2024-12-22,TFL-J-593073,Bus,Canary Wharf,Waterloo,2024-12-22 17:28:00,2024-12-22 18:09:00,1.75,11,Tower Hamlets,Lambeth,41.0,0.042682926829268296,Peak PM,High Friction
2024-12-18,TFL-J-870833,Tube,London Bridge,Bank,2024-12-18 20:11:00,2024-12-18 20:37:00,4.26,0,Southwark,City of London,26.0,0.16384615384615384,Night,Smooth
2024-02-02,TFL-J-665393,Tube,Waterloo,Liverpool Street,2024-02-02 13:19:00,2024-02-02 13:50:00,7.59,2,Lambeth,City of London,31.0,0.24483870967741936,Off-Peak,Smooth
2024-12-18,TFL-J-108312,Overground,Canary Wharf,Euston,2024-12-18 21:24:00,2024-12-18 21:59:00,3.96,0,Tower Hamlets,Camden,35.0,0.11314285714285714,Night,Smooth
2024-10-26,TFL-J-840341,Tube,Liverpool Street,Canary Wharf,2024-10-26 13:58:00,2024-10-26 14:22:00,3.28,2,City of London,Tower Hamlets,24.0,0.13666666666666666,Off-Peak,Smooth
2024-01-10,TFL-J-828680,Tube,Liverpool Street,Bank,2024-01-10 18:59:00,2024-01-10 19:42:00,3.13,10,City of London,City of London,43.0,0.0727906976744186,Peak PM,Minor Delays
2024-03-03,TFL-J-985814,Bus,Kings Cross,Bank,2024-03-03 17:41:00,2024-03-03 18:10:00,1.75,11,Camden,City of London,29.0,0.0603448275862069,Peak PM,High Friction
2024-01-19,TFL-J-244846,Overground,Stratford,Liverpool Street,2024-01-19 17:44:00,2024-01-19 17:51:00,9.4,10,Newham,City of London,7.0,1.342857142857143,Peak PM,Minor Delays
2024-11-24,TFL-J-115421,Tube,Paddington,Canary Wharf,2024-11-24 08:37:00,2024-11-24 09:36:00,2.98,19,Westminster,Tower Hamlets,59.0,0.05050847457627119,Peak AM,High Friction
2024-12-05,TFL-J-283520,Tube,Waterloo,Euston,2024-12-05 07:15:00,2024-12-05 07:49:00,4.79,9,Lambeth,Camden,34.0,0.14088235294117646,Peak AM,Minor Delays
2024-05-10,TFL-J-294426,Tube,Paddington,Kings Cross,2024-05-10 17:46:00,2024-05-10 18:44:00,3.73,18,Westminster,Camden,58.0,0.06431034482758621,Peak PM,High Friction
2024-01-15,TFL-J-516074,Tube,Bank,Waterloo,2024-01-15 20:34:00,2024-01-15 21:18:00,4.36,0,City of London,Lambeth,44.0,0.0990909090909091,Night,Smooth
2024-08-07,TFL-J-479902,Tube,Liverpool Street,Canary Wharf,2024-08-07 16:29:00,2024-08-07 17:05:00,4.1,7,City of London,Tower Hamlets,36.0,0.11388888888888887,Peak PM,Minor Delays
2024-07-02,TFL-J-624565,Tube,Bank,London Bridge,2024-07-02 17:37:00,2024-07-02 17:39:00,9.4,10,City of London,Southwark,2.0,4.7,Peak PM,Minor Delays
2024-01-09,TFL-J-227090,Tube,Canary Wharf,Paddington,2024-01-09 18:48:00,2024-01-09 19:44:00,5.15,27,Tower Hamlets,Westminster,56.0,0.09196428571428572,Peak PM,High Friction
2024-06-18,TFL-J-517330,Bus,Stratford,Waterloo,2024-06-18 17:11:00,2024-06-18 17:58:00,1.75,3,Newham,Lambeth,47.0,0.03723404255319149,Peak PM,Smooth
2024-09-18,TFL-J-719911,Tube,Euston,Stratford,2024-09-18 23:36:00,2024-09-19 00:24:00,5.36,3,Camden,Newham,48.0,0.11166666666666668,Night,Smooth
2024-07-20,TFL-J-427155,Tube,Paddington,London Bridge,2024-07-20 07:37:00,2024-07-20 08:15:00,3.28,7,Westminster,Southwark,38.0,0.0863157894736842,Peak AM,Minor Delays
2024-10-17,TFL-J-759181,Tube,Paddington,Euston,2024-10-17 20:42:00,2024-10-17 21:09:00,4.49,1,Westminster,Camden,27.0,0.1662962962962963,Night,Smooth
2024-02-21,TFL-J-168134,Tube,London Bridge,Kings Cross,2024-02-21 07:20:00,2024-02-21 07:44:00,3.74,0,Southwark,Camden,24.0,0.15583333333333335,Peak AM,Smooth
2024-02-28,TFL-J-367932,Tube,Waterloo,Stratford,2024-02-28 16:56:00,2024-02-28 17:50:00,4.36,13,Lambeth,Newham,54.0,0.08074074074074075,Peak PM,High Friction
2024-09-02,TFL-J-416216,Bus,Bank,Liverpool Street,2024-09-02 09:06:00,2024-09-02 10:01:00,1.75,12,City of London,City of London,55.0,0.031818181818181815,Peak AM,High Friction
2024-05-18,TFL-J-664764,Tube,Stratford,Canary Wharf,2024-05-18 08:52:00,2024-05-18 09:46:00,3.1,16,Newham,Tower Hamlets,54.0,0.05740740740740741,Peak AM,High Friction
2024-06-30,TFL-J-904477,Tube,Victoria,Canary Wharf,2024-06-30 07:58:00,2024-06-30 08:16:00,4.55,0,Westminster,Tower Hamlets,18.0,0.25277777777777777,Peak AM,Smooth
2024-01-19,TFL-J-547984,Bus,Bank,Liverpool Street,2024-01-19 08:17:00,2024-01-19 08:42:00,1.75,5,City of London,City of London,25.0,0.07,Peak AM,Smooth
2024-04-15,TFL-J-185899,Tube,London Bridge,Waterloo,2024-04-15 20:28:00,2024-04-15 21:01:00,4.62,0,Southwark,Lambeth,33.0,0.14,Night,Smooth
2024-10-07,TFL-J-771737,Bus,Euston,Kings Cross,2024-10-07 14:19:00,2024-10-07 14:56:00,1.75,0,Camden,Camden,37.0,0.0472972972972973,Off-Peak,Smooth
2024-05-30,TFL-J-601484,Overground,Bank,London Bridge,2024-05-30 16:24:00,2024-05-30 17:01:00,3.5,12,City of London,Southwark,37.0,0.0945945945945946,Peak PM,High Friction
2024-06-02,TFL-J-568116,Tube,Bank,Kings Cross,2024-06-02 09:27:00,2024-06-02 10:14:00,3.69,20,City of London,Camden,47.0,0.07851063829787235,Peak AM,High Friction
2024-08-26,TFL-J-686902,Bus,Victoria,Waterloo,2024-08-26 17:01:00,2024-08-26 17:43:00,1.75,12,Westminster,Lambeth,42.0,0.041666666666666664,Peak PM,High Friction
2024-10-23,TFL-J-140776,Tube,Paddington,Kings Cross,2024-10-23 18:55:00,2024-10-23 19:44:00,3.87,11,Westminster,Camden,49.0,0.0789795918367347,Peak PM,High Friction
2024-03-27,TFL-J-340467,Tube,Canary Wharf,Liverpool Street,2024-03-27 20:24:00,2024-03-27 21:06:00,4.52,6,Tower Hamlets,City of London,42.0,0.10761904761904761,Night,Minor Delays
2024-08-11,TFL-J-557555,Tube,Bank,Paddington,2024-08-11 13:07:00,2024-08-11 13:23:00,2.89,1,City of London,Westminster,16.0,0.180625,Off-Peak,Smooth
2024-09-06,TFL-J-517275,Bus,Paddington,Bank,2024-09-06 17:14:00,2024-09-06 17:55:00,1.75,5,Westminster,City of London,41.0,0.042682926829268296,Peak PM,Smooth
2024-12-13,TFL-J-415758,Tube,Waterloo,Canary Wharf,2024-12-13 08:13:00,2024-12-13 08:31:00,3.13,0,Lambeth,Tower Hamlets,18.0,0.17388888888888887,Peak AM,Smooth
2024-07-04,TFL-J-354508,Tube,Liverpool Street,Stratford,2024-07-04 17:57:00,2024-07-04 18:25:00,5.28,10,City of London,Newham,28.0,0.18857142857142858,Peak PM,Minor Delays
