Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration
2024-05-02,TFL-J-727167,Bus,Victoria,Euston,2024-05-02 10:56:00,2024-05-02 11:30:00,1.75,9,Westminster,Camden,34.0
2024-09-01,TFL-J-765248,Bus,Euston,Paddington,2024-09-01 19:39:00,2024-09-01 20:10:00,1.75,2,Camden,Westminster,31.0
2024-04-30,TFL-J-722653,Bus,London Bridge,Waterloo,2024-04-30 16:42:00,2024-04-30 17:22:00,1.75,7,Southwark,Lambeth,40.0
2024-10-17,TFL-J-781994,Tube,Canary Wharf,Victoria,2024-10-17 10:36:00,2024-10-17 10:56:00,2.95,0,Tower Hamlets,Westminster,20.0
2024-02-20,TFL-J-348764,Tube,Stratford,Victoria,2024-02-20 11:59:00,2024-02-20 12:45:00,5.05,2,Newham,Westminster,46.0
2024-01-08,TFL-J-500848,Tube,London Bridge,Kings Cross,2024-01-08 20:28:00,2024-01-08 21:22:00,3.67,13,Southwark,Camden,54.0
2024-08-24,TFL-J-948290,Tube,Waterloo,London Bridge,2024-08-24 18:13:00,2024-08-24 18:42:00,5.13,0,Lambeth,Southwark,29.0
2024-03-06,TFL-J-780679,Tube,Canary Wharf,Liverpool Street,2024-03-06 23:08:00,2024-03-06 23:43:00,4.41,5,Tower Hamlets,City of London,35.0
2024-12-22,TFL-J-704223,Tube,Victoria,Bank,2024-12-22 18:23:00,2024-12-22 18:45:00,3.64,2,Westminster,City of London,22.0
2024-11-08,TFL-J-697637,Bus,Paddington,Waterloo,2024-11-08 08:42:00,2024-11-08 09:13:00,1.75,2,Westminster,Lambeth,31.0
2024-12-08,TFL-J-281655,Tube,London Bridge,Victoria,2024-12-08 13:03:00,2024-12-08 13:45:00,3.26,0,Southwark,Westminster,42.0
2024-09-16,TFL-J-411830,Tube,Liverpool Street,Waterloo,2024-09-16 18:23:00,2024-09-16 19:03:00,5.4,23,City of London,Lambeth,40.0
2024-03-01,TFL-J-859153,Tube,Victoria,Bank,2024-03-01 08:41:00,2024-03-01 09:00:00,4.85,2,Westminster,City of London,19.0
2024-08-12,TFL-J-412827,Bus,London Bridge,Bank,2024-08-12 23:11:00,2024-08-12 23:55:00,1.75,2,Southwark,City of London,44.0
2024-06-13,TFL-J-877326,Tube,Stratford,Bank,2024-06-13 13:13:00,2024-06-13 13:52:00,3.59,0,Newham,City of London,39.0
2024-12-30,TFL-J-311100,Tube,Bank,London Bridge,2024-12-30 14:36:00,2024-12-30 15:27:00,4.26,6,City of London,Southwark,51.0
2024-02-29,TFL-J-566467,Tube,Victoria,Liverpool Street,2024-02-29 09:15:00,2024-02-29 09:34:00,4.99,4,Westminster,City of London,19.0
2024-01-08,TFL-J-267254,Bus,London Bridge,Waterloo,2024-01-08 14:55:00,2024-01-08 15:39:00,1.75,7,Southwark,Lambeth,44.0
2024-03-27,TFL-J-586003,Tube,Waterloo,Paddington,2024-03-27 18:20:00,2024-03-27 18:50:00,4.53,0,Lambeth,Westminster,30.0
2024-09-14,TFL-J-953063,Bus,Waterloo,Kings Cross,2024-09-14 09:15:00,2024-09-14 09:54:00,1.75,16,Lambeth,Camden,39.0
2024-04-13,TFL-J-394411,Tube,Euston,Stratford,2024-04-13 19:17:00,2024-04-13 19:41:00,4.58,2,Camden,Newham,24.0
2024-02-20,TFL-J-241353,Tube,Kings Cross,Euston,2024-02-20 15:21:00,2024-02-20 16:03:00,7.63,2,Camden,Camden,42.0
2024-02-09,TFL-J-701494,Tube,London Bridge,Waterloo,2024-02-09 12:07:00,2024-02-09 12:24:00,4.83,0,Southwark,Lambeth,17.0
2024-03-09,TFL-J-535724,Bus,Euston,Stratford,2024-03-09 14:17:00,2024-03-09 14:40:00,1.75,2,Camden,Newham,23.0
2024-04-10,TFL-J-765324,Bus,Victoria,Canary Wharf,2024-04-10 09:51:00,2024-04-10 10:30:00,1.75,6,Westminster,Tower Hamlets,39.0
2024-06-03,TFL-J-647843,Tube,Canary Wharf,Kings Cross,2024-06-03 17:51:00,2024-06-03 18:07:00,4.61,0,Tower Hamlets,Camden,16.0
2024-12-05,TFL-J-480010,Bus,Waterloo,Canary Wharf,2024-12-05 19:46:00,2024-12-05 20:37:00,1.75,11,Lambeth,Tower Hamlets,51.0
2024-11-18,TFL-J-416171,Tube,Canary Wharf,Victoria,2024-11-18 10:16:00,2024-11-18 11:02:00,4.17,3,Tower Hamlets,Westminster,46.0
2024-03-20,TFL-J-403221,Tube,Victoria,Euston,2024-03-20 10:29:00,2024-03-20 10:59:00,4.85,1,Westminster,Camden,30.0
2024-12-05,TFL-J-570276,Tube,Euston,Bank,2024-12-05 10:06:00,2024-12-05 10:43:00,10.36,3,Camden,City of London,37.0
2024-08-24,TFL-J-112711,Bus,Stratford,London Bridge,2024-08-24 18:28:00,2024-08-24 18:57:00,1.75,11,Newham,Southwark,29.0
2024-03-23,TFL-J-862437,Tube,Canary Wharf,Euston,2024-03-23 07:16:00,2024-03-23 08:15:00,5.03,30,Tower Hamlets,Camden,59.0
2024-12-24,TFL-J-865085,Tube,Bank,Euston,2024-12-24 18:17:00,2024-12-24 18:49:00,4.01,1,City of London,Camden,32.0
2024-01-29,TFL-J-690308,Tube,Canary Wharf,Victoria,2024-01-29 16:11:00,2024-01-29 16:40:00,4.28,10,Tower Hamlets,Westminster,29.0
2024-02-26,TFL-J-720257,Tube,Victoria,Kings Cross,2024-02-26 22:31:00,2024-02-26 22:51:00,4.53,0,Westminster,Camden,20.0
2024-09-24,TFL-J-637158,Tube,Bank,Liverpool Street,2024-09-24 08:46:00,2024-09-24 08:55:00,9.4,1,City of London,City of London,9.0
2024-12-24,TFL-J-999072,Tube,London Bridge,Paddington,2024-12-24 07:45:00,2024-12-24 08:35:00,4.13,5,Southwark,Westminster,50.0
2024-12-07,TFL-J-135728,Tube,Stratford,Canary Wharf,2024-12-07 07:12:00,2024-12-07 07:47:00,4.84,3,Newham,Tower Hamlets,35.0
2024-01-31,TFL-J-194028,Tube,Liverpool Street,Paddington,2024-01-31 16:46:00,2024-01-31 17:42:00,3.48,26,City of London,Westminster,56.0
2024-06-10,TFL-J-997701,Overground,Kings Cross,Paddington,2024-06-10 07:28:00,2024-06-10 07:50:00,4.48,7,Camden,Westminster,22.0
2024-10-30,TFL-J-583050,Tube,Euston,Waterloo,2024-10-30 22:55:00,2024-10-30 23:25:00,3.99,1,Camden,Lambeth,30.0
2024-09-10,TFL-J-285893,Tube,Paddington,Kings Cross,2024-09-10 07:14:00,2024-09-10 07:40:00,3.44,9,Westminster,Camden,26.0
2024-11-17,TFL-J-241998,Bus,Liverpool Street,Euston,2024-11-17 21:42:00,2024-11-17 22:29:00,1.75,3,City of London,Camden,47.0
2024-08-30,TFL-J-405565,Tube,Bank,Waterloo,2024-08-30 07:27:00,2024-08-30 08:00:00,10.31,8,City of London,Lambeth,33.0
2024-10-31,TFL-J-741961,Tube,Victoria,Euston,2024-10-31 09:18:00,2024-10-31 09:39:00,4.55,3,Westminster,Camden,21.0
2024-12-04,TFL-J-655891,Tube,Victoria,London Bridge,2024-12-04 19:55:00,2024-12-04 20:27:00,4.71,1,Westminster,Southwark,32.0
2024-10-24,TFL-J-235751,Tube,Waterloo,Canary Wharf,2024-10-24 10:36:00,2024-10-24 11:02:00,4.99,0,Lambeth,Tower Hamlets,26.0
2024-02-13,TFL-J-884109,Bus,Kings Cross,London Bridge,2024-02-13 21:30:00,2024-02-13 22:05:00,3.42,5,Camden,Southwark,35.0
2024-05-01,TFL-J-126816,Overground,London Bridge,Bank,2024-05-01 07:02:00,2024-05-01 07:31:00,2.9,12,Southwark,City of London,29.0
2024-05-22,TFL-J-198438,Tube,Victoria,Waterloo,2024-05-22 08:23:00,2024-05-22 08:55:00,3.5,3,Westminster,Lambeth,32.0
2024-06-23,TFL-J-418525,Tube,Canary Wharf,Euston,2024-06-23 09:41:00,2024-06-23 10:32:00,3.91,10,Tower Hamlets,Camden,51.0
2024-12-22,TFL-J-593073,Bus,Canary Wharf,Waterloo,2024-12-22 17:28:00,2024-12-22 18:09:00,1.75,11,Tower Hamlets,Lambeth,41.0
2024-12-18,TFL-J-870833,Tube,London Bridge,Bank,2024-12-18 20:11:00,2024-12-18 20:37:00,4.26,0,Southwark,City of London,26.0
2024-02-02,TFL-J-665393,Tube,Waterloo,Liverpool Street,2024-02-02 13:19:00,2024-02-02 13:50:00,7.59,2,Lambeth,City of London,31.0
2024-12-18,TFL-J-108312,Overground,Canary Wharf,Euston,2024-12-18 21:24:00,2024-12-18 21:59:00,3.96,0,Tower Hamlets,Camden,35.0
2024-10-26,TFL-J-840341,Tube,Liverpool Street,Canary Wharf,2024-10-26 13:58:00,2024-10-26 14:22:00,3.28,2,City of London,Tower Hamlets,24.0
2024-01-10,TFL-J-828680,Tube,Liverpool Street,Bank,2024-01-10 18:59:00,2024-01-10 19:42:00,3.13,10,City of London,City of London,43.0
2024-03-03,TFL-J-985814,Bus,Kings Cross,Bank,2024-03-03 17:41:00,2024-03-03 18:10:00,1.75,11,Camden,City of London,29.0
2024-01-19,TFL-J-244846,Overground,Stratford,Liverpool Street,2024-01-19 17:44:00,2024-01-19 17:51:00,9.4,10,Newham,City of London,7.0
2024-11-24,TFL-J-115421,Tube,Paddington,Canary Wharf,2024-11-24 08:37:00,2024-11-24 09:36:00,2.98,19,Westminster,Tower Hamlets,59.0
2024-12-05,TFL-J-283520,Tube,Waterloo,Euston,2024-12-05 07:15:00,2024-12-05 07:49:00,4.79,9,Lambeth,Camden,34.0
2024-05-10,TFL-J-294426,Tube,Paddington,Kings Cross,2024-05-10 17:46:00,2024-05-10 18:44:00,3.73,18,Westminster,Camden,58.0
2024-01-15,TFL-J-516074,Tube,Bank,Waterloo,2024-01-15 20:34:00,2024-01-15 21:18:00,4.36,0,City of London,Lambeth,44.0
2024-08-07,TFL-J-479902,Tube,Liverpool Street,Canary Wharf,2024-08-07 16:29:00,2024-08-07 17:05:00,4.1,7,City of London,Tower Hamlets,36.0
2024-07-02,TFL-J-624565,Tube,Bank,London Bridge,2024-07-02 17:37:00,2024-07-02 17:39:00,9.4,10,City of London,Southwark,2.0
2024-01-09,TFL-J-227090,Tube,Canary Wharf,Paddington,2024-01-09 18:48:00,2024-01-09 19:44:00,5.15,27,Tower Hamlets,Westminster,56.0
2024-06-18,TFL-J-517330,Bus,Stratford,Waterloo,2024-06-18 17:11:00,2024-06-18 17:58:00,1.75,3,Newham,Lambeth,47.0
2024-09-18,TFL-J-719911,Tube,Euston,Stratford,2024-09-18 23:36:00,2024-09-19 00:24:00,5.36,3,Camden,Newham,48.0
2024-07-20,TFL-J-427155,Tube,Paddington,London Bridge,2024-07-20 07:37:00,2024-07-20 08:15:00,3.28,7,Westminster,Southwark,38.0
2024-10-17,TFL-J-759181,Tube,Paddington,Euston,2024-10-17 20:42:00,2024-10-17 21:09:00,4.49,1,Westminster,Camden,27.0
2024-02-21,TFL-J-168134,Tube,London Bridge,Kings Cross,2024-02-21 07:20:00,2024-02-21 07:44:00,3.74,0,Southwark,Camden,24.0
2024-02-28,TFL-J-367932,Tube,Waterloo,Stratford,2024-02-28 16:56:00,2024-02-28 17:50:00,4.36,13,Lambeth,Newham,54.0
2024-09-02,TFL-J-416216,Bus,Bank,Liverpool Street,2024-09-02 09:06:00,2024-09-02 10:01:00,1.75,12,City of London,City of London,55.0
2024-05-18,TFL-J-664764,Tube,Stratford,Canary Wharf,2024-05-18 08:52:00,2024-05-18 09:46:00,3.1,16,Newham,Tower Hamlets,54.0
2024-06-30,TFL-J-904477,Tube,Victoria,Canary Wharf,2024-06-30 07:58:00,2024-06-30 08:16:00,4.55,0,Westminster,Tower Hamlets,18.0
2024-01-19,TFL-J-547984,Bus,Bank,Liverpool Street,2024-01-19 08:17:00,2024-01-19 08:42:00,1.75,5,City of London,City of London,25.0
2024-04-15,TFL-J-185899,Tube,London Bridge,Waterloo,2024-04-15 20:28:00,2024-04-15 21:01:00,4.62,0,Southwark,Lambeth,33.0
2024-10-07,TFL-J-771737,Bus,Euston,Kings Cross,2024-10-07 14:19:00,2024-10-07 14:56:00,1.75,0,Camden,Camden,37.0
2024-05-30,TFL-J-601484,Overground,Bank,London Bridge,2024-05-30 16:24:00,2024-05-30 17:01:00,3.5,12,City of London,Southwark,37.0
2024-06-02,TFL-J-568116,Tube,Bank,Kings Cross,2024-06-02 09:27:00,2024-06-02 10:14:00,3.69,20,City of London,Camden,47.0
2024-08-26,TFL-J-686902,Bus,Victoria,Waterloo,2024-08-26 17:01:00,2024-08-26 17:43:00,1.75,12,Westminster,Lambeth,42.0
2024-10-23,TFL-J-140776,Tube,Paddington,Kings Cross,2024-10-23 18:55:00,2024-10-23 19:44:00,3.87,11,Westminster,Camden,49.0
2024-03-27,TFL-J-340467,Tube,Canary Wharf,Liverpool Street,2024-03-27 20:24:00,2024-03-27 21:06:00,4.52,6,Tower Hamlets,City of London,42.0
2024-08-11,TFL-J-557555,Tube,Bank,Paddington,2024-08-11 13:07:00,2024-08-11 13:23:00,2.89,1,City of London,Westminster,16.0
2024-09-06,TFL-J-517275,Bus,Paddington,Bank,2024-09-06 17:14:00,2024-09-06 17:55:00,1.75,5,Westminster,City of London,41.0
2024-12-13,TFL-J-415758,Tube,Waterloo,Canary Wharf,2024-12-13 08:13:00,2024-12-13 08:31:00,3.13,0,Lambeth,Tower Hamlets,18.0
2024-07-04,TFL-J-354508,Tube,Liverpool Street,Stratford,2024-07-04 17:57:00,2024-07-04 18:25:00,5.28,10,City of London,Newham,28.0
2024-06-11,TFL-J-650295,Tube,Stratford,London Bridge,2024-06-11 18:07:00,2024-06-11 18:50:00,4.37,15,Newham,Southwark,43.0
2024-09-28,TFL-J-419340,Tube,London Bridge,Victoria,2024-09-28 18:26:00,2024-09-28 19:16:00,4.64,13,Southwark,Westminster,50.0
2024-10-07,TFL-J-336999,Bus,Paddington,Stratford,2024-10-07 07:43:00,2024-10-07 08:24:00,1.75,1,Westminster,Newham,41.0
2024-09-08,TFL-J-405178,Tube,London Bridge,Waterloo,2024-09-08 09:09:00,2024-09-08 10:30:00,3.02,36,Southwark,Lambeth,81.0
2024-06-24,TFL-J-471472,Bus,London Bridge,Waterloo,2024-06-24 18:06:00,2024-06-24 18:33:00,1.75,4,Southwark,Lambeth,27.0
2024-05-20,TFL-J-640915,Bus,Paddington,Liverpool Street,2024-05-20 08:20:00,2024-05-20 08:47:00,1.75,3,Westminster,City of London,27.0
2024-12-10,TFL-J-297144,Bus,Victoria,Canary Wharf,2024-12-10 16:57:00,2024-12-10 17:29:00,1.75,7,Westminster,Tower Hamlets,32.0
2024-01-24,TFL-J-645280,Bus,Stratford,Victoria,2024-01-24 09:30:00,2024-01-24 09:35:00,9.4,0,Newham,Westminster,5.0
2024-10-13,TFL-J-327356,Tube,Paddington,London Bridge,2024-10-13 12:14:00,2024-10-13 12:35:00,2.89,1,Westminster,Southwark,21.0
2024-07-19,TFL-J-929598,Bus,Kings Cross,Stratford,2024-07-19 11:41:00,2024-07-19 12:26:00,1.75,0,Camden,Newham,45.0
2024-04-11,TFL-J-722823,Tube,Liverpool Street,Bank,2024-04-11 17:14:00,2024-04-11 18:06:00,5.46,21,City of London,City of London,52.0
2024-08-19,TFL-J-890355,Tube,Canary Wharf,Waterloo,2024-08-19 08:54:00,2024-08-19 09:26:00,5.48,8,Tower Hamlets,Lambeth,32.0
2024-04-07,TFL-J-139486,Tube,Canary Wharf,Waterloo,2024-04-07 07:23:00,2024-04-07 08:09:00,4.32,3,Tower Hamlets,Lambeth,46.0
2024-01-10,TFL-J-169491,Tube,Paddington,Victoria,2024-01-10 07:17:00,2024-01-10 08:05:00,5.39,7,Westminster,Westminster,48.0
2024-07-02,TFL-J-469108,Overground,Euston,Canary Wharf,2024-07-02 07:07:00,2024-07-02 07:42:00,4.66,9,Camden,Tower Hamlets,35.0
2024-10-30,TFL-J-295014,Overground,Euston,Victoria,2024-10-30 17:00:00,2024-10-30 17:37:00,5.47,15,Camden,Westminster,37.0
2024-07-08,TFL-J-288035,Bus,Bank,Liverpool Street,2024-07-08 08:43:00,2024-07-08 09:15:00,1.75,5,City of London,City of London,32.0
2024-01-20,TFL-J-127310,Tube,Stratford,Victoria,2024-01-20 08:38:00,2024-01-20 09:08:00,3.5,0,Newham,Westminster,30.0
2024-12-08,TFL-J-940146,Tube,Bank,Euston,2024-12-08 07:33:00,2024-12-08 08:05:00,4.32,3,City of London,Camden,32.0
2024-07-11,TFL-J-139398,Overground,Paddington,Bank,2024-07-11 17:46:00,2024-07-11 18:09:00,4.58,0,Westminster,City of London,23.0
2024-11-15,TFL-J-177433,Overground,Victoria,Euston,2024-11-15 07:02:00,2024-11-15 07:30:00,4.19,2,Westminster,Camden,28.0
2024-04-03,TFL-J-524439,Tube,Waterloo,Canary Wharf,2024-04-03 17:16:00,2024-04-03 18:02:00,3.97,4,Lambeth,Tower Hamlets,46.0
2024-06-13,TFL-J-863267,Tube,Bank,London Bridge,2024-06-13 17:28:00,2024-06-13 18:36:00,4.48,31,City of London,Southwark,68.0
2024-09-10,TFL-J-722580,Bus,Kings Cross,Bank,2024-09-10 09:49:00,2024-09-10 10:35:00,1.75,10,Camden,City of London,46.0
2024-05-10,TFL-J-533692,Bus,London Bridge,Waterloo,2024-05-10 08:23:00,2024-05-10 09:08:00,1.75,15,Southwark,Lambeth,45.0
2024-11-17,TFL-J-451453,Tube,Stratford,London Bridge,2024-11-17 23:31:00,2024-11-18 00:00:00,3.85,7,Newham,Southwark,29.0
2024-01-02,TFL-J-520580,Bus,Euston,Canary Wharf,2024-01-02 08:26:00,2024-01-02 09:11:00,1.75,14,Camden,Tower Hamlets,45.0
2024-09-05,TFL-J-447811,Tube,Waterloo,Euston,2024-09-05 17:07:00,2024-09-05 17:48:00,4.53,0,Lambeth,Camden,41.0
2024-01-29,TFL-J-215444,Bus,Waterloo,London Bridge,2024-01-29 14:28:00,2024-01-29 14:54:00,1.75,1,Lambeth,Southwark,26.0
2024-06-06,TFL-J-737890,Tube,Stratford,Paddington,2024-06-06 08:38:00,2024-06-06 09:13:00,3.78,19,Newham,Westminster,35.0
2024-05-20,TFL-J-712874,Tube,Liverpool Street,Bank,2024-05-20 15:46:00,2024-05-20 16:06:00,4.82,0,City of London,City of London,20.0
2024-12-11,TFL-J-483278,Overground,Liverpool Street,Canary Wharf,2024-12-11 08:42:00,2024-12-11 09:10:00,4.45,2,City of London,Tower Hamlets,28.0
2024-12-19,TFL-J-301418,Tube,Paddington,Bank,2024-12-19 09:43:00,2024-12-19 10:43:00,3.55,27,Westminster,City of London,60.0
2024-06-04,TFL-J-751951,Overground,Canary Wharf,Paddington,2024-06-04 07:36:00,2024-06-04 08:33:00,3.83,13,Tower Hamlets,Westminster,57.0
2024-07-09,TFL-J-347770,Tube,Euston,Stratford,2024-07-09 16:11:00,2024-07-09 16:36:00,2.98,2,Camden,Newham,25.0
2024-01-05,TFL-J-814642,Tube,Bank,Paddington,2024-01-05 08:59:00,2024-01-05 09:43:00,4.17,3,City of London,Westminster,44.0
2024-08-17,TFL-J-876531,Bus,Paddington,Victoria,2024-08-17 08:21:00,2024-08-17 08:39:00,1.75,0,Westminster,Westminster,18.0
2024-12-12,TFL-J-725005,Bus,Bank,Canary Wharf,2024-12-12 08:37:00,2024-12-12 09:11:00,4.76,4,City of London,Tower Hamlets,34.0
2024-10-12,TFL-J-511451,Tube,Bank,Victoria,2024-10-12 07:29:00,2024-10-12 07:53:00,3.42,2,City of London,Westminster,24.0
2024-11-19,TFL-J-439299,Tube,Euston,London Bridge,2024-11-19 21:14:00,2024-11-19 21:53:00,4.43,5,Camden,Southwark,39.0
2024-01-10,TFL-J-989955,Bus,Liverpool Street,Kings Cross,2024-01-10 20:22:00,2024-01-10 20:51:00,1.75,0,City of London,Camden,29.0
2024-06-19,TFL-J-112039,Tube,Bank,Stratford,2024-06-19 18:28:00,2024-06-19 19:10:00,5.12,21,City of London,Newham,42.0
2024-02-17,TFL-J-397849,Tube,Kings Cross,Euston,2024-02-17 17:40:00,2024-02-17 18:06:00,4.25,6,Camden,Camden,26.0
2024-05-07,TFL-J-562654,Bus,Paddington,Liverpool Street,2024-05-07 22:56:00,2024-05-07 23:24:00,1.75,0,Westminster,City of London,28.0
2024-10-15,TFL-J-739343,Tube,Bank,Stratford,2024-10-15 13:28:00,2024-10-15 14:05:00,3.26,4,City of London,Newham,37.0
2024-05-23,TFL-J-285340,Tube,Canary Wharf,Stratford,2024-05-23 08:05:00,2024-05-23 08:39:00,5.07,6,Tower Hamlets,Newham,34.0
2024-10-22,TFL-J-883377,Tube,Canary Wharf,Victoria,2024-10-22 17:56:00,2024-10-22 18:22:00,3.15,11,Tower Hamlets,Westminster,26.0
2024-06-10,TFL-J-171883,Bus,Euston,London Bridge,2024-06-10 17:05:00,2024-06-10 17:42:00,1.75,9,Camden,Southwark,37.0
2024-02-06,TFL-J-381227,Bus,London Bridge,Liverpool Street,2024-02-06 08:11:00,2024-02-06 09:07:00,1.75,17,Southwark,City of London,56.0
2024-11-11,TFL-J-667194,Tube,Stratford,Paddington,2024-11-11 08:08:00,2024-11-11 09:29:00,4.47,53,Newham,Westminster,81.0
2024-11-29,TFL-J-359534,Tube,Canary Wharf,Paddington,2024-11-29 12:53:00,2024-11-29 13:31:00,3.17,0,Tower Hamlets,Westminster,38.0
2024-05-28,TFL-J-754974,Overground,Stratford,Victoria,2024-05-28 17:53:00,2024-05-28 18:45:00,5.29,21,Newham,Westminster,52.0
2024-09-18,TFL-J-720440,Tube,Euston,Paddington,2024-09-18 18:13:00,2024-09-18 18:37:00,4.05,4,Camden,Westminster,24.0
2024-12-01,TFL-J-218794,Bus,London Bridge,Bank,2024-12-01 08:05:00,2024-12-01 08:31:00,1.75,6,Southwark,City of London,26.0
2024-09-21,TFL-J-190451,Bus,Bank,Waterloo,2024-09-21 07:52:00,2024-09-21 07:56:00,9.4,1,City of London,Lambeth,4.0
2024-10-07,TFL-J-535321,Tube,Kings Cross,Euston,2024-10-07 17:10:00,2024-10-07 18:02:00,4.3,10,Camden,Camden,52.0
2024-11-05,TFL-J-671569,Tube,Waterloo,Kings Cross,2024-11-05 09:14:00,2024-11-05 09:47:00,3.69,11,Lambeth,Camden,33.0
2024-03-16,TFL-J-978844,Bus,Victoria,Stratford,2024-03-16 08:25:00,2024-03-16 08:59:00,1.75,0,Westminster,Newham,34.0
2024-09-23,TFL-J-844171,Tube,Euston,Victoria,2024-09-23 18:53:00,2024-09-23 19:13:00,3.38,0,Camden,Westminster,20.0
2024-06-27,TFL-J-584501,Tube,Waterloo,London Bridge,2024-06-27 14:41:00,2024-06-27 15:07:00,3.86,1,Lambeth,Southwark,26.0
2024-11-24,TFL-J-180770,Tube,Kings Cross,Waterloo,2024-11-24 09:28:00,2024-11-24 10:14:00,4.59,1,Camden,Lambeth,46.0
2024-04-11,TFL-J-813998,Tube,Euston,Victoria,2024-04-11 08:36:00,2024-04-11 09:23:00,11.86,6,Camden,Westminster,47.0
2024-03-28,TFL-J-399807,Tube,Kings Cross,Stratford,2024-03-28 15:25:00,2024-03-28 16:15:00,8.68,7,Camden,Newham,50.0
2024-04-26,TFL-J-269742,Tube,Bank,London Bridge,2024-04-26 09:51:00,2024-04-26 10:19:00,5.4,0,City of London,Southwark,28.0
2024-02-27,TFL-J-469853,Bus,Canary Wharf,Euston,2024-02-27 07:10:00,2024-02-27 07:41:00,1.75,8,Tower Hamlets,Camden,31.0
2024-02-09,TFL-J-225348,Bus,Stratford,London Bridge,2024-02-09 17:16:00,2024-02-09 17:31:00,1.75,0,Newham,Southwark,15.0
2024-04-20,TFL-J-822752,Tube,Stratford,Bank,2024-04-20 15:06:00,2024-04-20 15:49:00,4.31,4,Newham,City of London,43.0
2024-01-07,TFL-J-254173,Bus,Liverpool Street,Euston,2024-01-07 17:55:00,2024-01-07 18:21:00,3.64,5,City of London,Camden,26.0
2024-10-16,TFL-J-442315,Tube,Paddington,Bank,2024-10-16 07:03:00,2024-10-16 07:50:00,3.44,16,Westminster,City of London,47.0
2024-02-23,TFL-J-431845,Tube,Waterloo,Bank,2024-02-23 15:05:00,2024-02-23 15:26:00,3.76,1,Lambeth,City of London,21.0
2024-03-04,TFL-J-629035,Bus,Waterloo,Euston,2024-03-04 09:15:00,2024-03-04 10:15:00,1.75,22,Lambeth,Camden,60.0
2024-12-16,TFL-J-450868,Tube,Victoria,Canary Wharf,2024-12-16 14:43:00,2024-12-16 15:29:00,3.17,1,Westminster,Tower Hamlets,46.0
2024-07-05,TFL-J-659757,Tube,Waterloo,Euston,2024-07-05 07:56:00,2024-07-05 08:44:00,2.95,3,Lambeth,Camden,48.0
2024-06-21,TFL-J-817500,Tube,Stratford,Victoria,2024-06-21 13:54:00,2024-06-21 14:31:00,3.45,0,Newham,Westminster,37.0
2024-09-25,TFL-J-241660,Overground,Kings Cross,Bank,2024-09-25 10:25:00,2024-09-25 11:07:00,4.69,3,Camden,City of London,42.0
2024-11-11,TFL-J-627508,Bus,Kings Cross,Euston,2024-11-11 09:55:00,2024-11-11 10:28:00,1.75,1,Camden,Camden,33.0
2024-10-09,TFL-J-102349,Tube,Paddington,Bank,2024-10-09 07:07:00,2024-10-09 07:24:00,3.08,0,Westminster,City of London,17.0
2024-11-22,TFL-J-803894,Bus,Victoria,Kings Cross,2024-11-22 16:55:00,2024-11-22 17:50:00,1.75,27,Westminster,Camden,55.0
2024-09-02,TFL-J-352539,Tube,Waterloo,Bank,2024-09-02 07:45:00,2024-09-02 08:08:00,4.57,8,Lambeth,City of London,23.0
2024-02-16,TFL-J-685649,Bus,Liverpool Street,Stratford,2024-02-16 18:28:00,2024-02-16 18:56:00,1.75,2,City of London,Newham,28.0
2024-12-02,TFL-J-841322,Tube,Paddington,Kings Cross,2024-12-02 09:40:00,2024-12-02 10:03:00,5.44,0,Westminster,Camden,23.0
2024-12-08,TFL-J-303958,Bus,Euston,London Bridge,2024-12-08 18:01:00,2024-12-08 18:52:00,1.75,10,Camden,Southwark,51.0
2024-03-13,TFL-J-662929,Bus,Liverpool Street,Waterloo,2024-03-13 08:14:00,2024-03-13 08:30:00,1.75,0,City of London,Lambeth,16.0
2024-06-07,TFL-J-761317,Tube,Victoria,Kings Cross,2024-06-07 11:15:00,2024-06-07 11:50:00,4.71,1,Westminster,Camden,35.0
2024-03-03,TFL-J-547734,Tube,Stratford,Paddington,2024-03-03 23:07:00,2024-03-03 23:28:00,4.89,0,Newham,Westminster,21.0
2024-04-08,TFL-J-525830,Tube,Stratford,London Bridge,2024-04-08 13:35:00,2024-04-08 14:16:00,13.35,2,Newham,Southwark,41.0
2024-03-31,TFL-J-947080,Tube,Paddington,Kings Cross,2024-03-31 08:11:00,2024-03-31 08:51:00,5.27,13,Westminster,Camden,40.0
2024-01-16,TFL-J-784092,Bus,Stratford,Bank,2024-01-16 12:44:00,2024-01-16 13:16:00,1.75,1,Newham,City of London,32.0
2024-04-03,TFL-J-380522,Tube,Euston,Waterloo,2024-04-03 22:31:00,2024-04-03 22:54:00,4.98,0,Camden,Lambeth,23.0
2024-03-28,TFL-J-615685,Bus,Victoria,Euston,2024-03-28 08:58:00,2024-03-28 09:33:00,1.75,6,Westminster,Camden,35.0
2024-09-13,TFL-J-526437,Bus,Stratford,Waterloo,2024-09-13 22:29:00,2024-09-13 22:57:00,1.75,6,Newham,Lambeth,28.0
2024-11-06,TFL-J-512031,Bus,Liverpool Street,Victoria,2024-11-06 18:17:00,2024-11-06 19:09:00,1.75,24,City of London,Westminster,52.0
